"cell_id";"guild";"record.type";"richness"
535;"plants";"GBIF";41
535;"plants";"NVS";15
536;"birds";"GBIF";17
537;"birds";"GBIF";14
537;"birds";"TIER1";13
537;"plants";"NVS";24
538;"birds";"GBIF";16
538;"plants";"NVS";21
539;"birds";"GBIF";20
539;"plants";"NVS";26
540;"birds";"GBIF";11
540;"plants";"NVS";23
541;"birds";"TIER1";13
541;"plants";"GBIF";32
541;"plants";"NVS";15
542;"plants";"NVS";23
543;"birds";"GBIF";10
544;"birds";"GBIF";5
545;"birds";"GBIF";7
546;"birds";"GBIF";20
546;"plants";"GBIF";1
546;"plants";"NVS";24
548;"birds";"GBIF";21
549;"birds";"GBIF";22
549;"birds";"TIER1";14
549;"plants";"NVS";22
550;"birds";"GBIF";21
550;"birds";"TIER1";15
550;"plants";"GBIF";4
550;"plants";"NVS";46
551;"birds";"GBIF";22
551;"plants";"GBIF";27
552;"birds";"GBIF";27
553;"birds";"GBIF";17
554;"birds";"GBIF";26
554;"plants";"NVS";15
555;"birds";"GBIF";26
555;"birds";"TIER1";7
555;"plants";"NVS";40
556;"birds";"GBIF";21
557;"birds";"GBIF";18
557;"plants";"NVS";7
558;"birds";"GBIF";19
559;"birds";"GBIF";20
560;"birds";"GBIF";17
561;"birds";"GBIF";16
561;"birds";"TIER1";15
561;"plants";"GBIF";1
561;"plants";"NVS";28
562;"birds";"GBIF";18
563;"birds";"GBIF";27
563;"birds";"TIER1";8
563;"plants";"NVS";8
564;"birds";"GBIF";24
564;"birds";"TIER1";11
564;"plants";"GBIF";13
564;"plants";"NVS";6
565;"birds";"GBIF";20
565;"birds";"TIER1";13
565;"plants";"NVS";1
566;"birds";"GBIF";1
567;"birds";"GBIF";20
569;"birds";"GBIF";23
569;"plants";"GBIF";1
570;"birds";"GBIF";4
570;"plants";"GBIF";40
570;"plants";"NVS";6
571;"birds";"GBIF";18
571;"birds";"TIER1";15
